id	Name	id_sub	Town	Prefecture	lat	long	facility type	corroboration level	ETNAM 	Shawn Zhang list	Shawn Zhang #	ASPI 2020 #	XJVDB	Media reports	Researchers	Links	Links 2	Links 3	Links 4
																			
																			
																			
106	Shufu - I	B	Shufu	Kashgar	39.3591944444444	75.8638888888889	camp	corroborated	P_QE04, C_QE05 	Shawn Zhang	1	336				https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-camp-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-96691b1a0d62			
107	Yecheng - I	A	Yecheng	Kashgar	37.9167777777778	77.3514722222222	camp	corroborated	C_QE37	Shawn Zhang	4	18				https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-Pre-2016 programme - detention centre-4-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-4-ded2f9b4eb38 			
108	Kashgar - I		Kashgar	Kashgar	39.4316666666667	76.05575	camp	corroborated	C_QE01	Shawn Zhang	2	90				https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-camp-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-2-d6d2ad768977			
109	Hotan County - I	A	Hotan County	Hotan	37.2497777777778	79.8480555555555	detention center	corroborated	P_HO04, C_HO05 	Shawn Zhang	5	6	XJV DB	BBC, China Daily		https://www.bbc.co.uk/news/resources/idt-sh/China_hidden_Pre-2016 programme - detention centres	https://www.youtube.com/watch?v=v_XI-aiCa34	https://shahit.biz/eng/#facilities	
110	Shule - I	B	Shule	Kashgar	39.3581111111111	76.0511388888889	camp	corroborated	P_QE07, C_QE13 	Shawn Zhang	3	317		Economist, Bitter Winter		https://www.economist.com/briefing/2018/05/31/china-has-turned-xinjiang-into-a-police-state-like-no-other	https://bitterwinter.org/more-Pre-2016 programme - detention centres-for-muslims/		
111	Hotan City - VI		Hotan City	Hotan	37.1118055555556	79.9708333333333	camp	corroborated		Shawn Zhang	6	35				https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-Pre-2016 programme - detention centre-6-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-6-7ba1c51cfb32			
112	Karakax - I		Karakax	Hotan	37.1118611111111	79.6419166666667	camp	corroborated	P_HO11, C_HO12, C_HO13 	Shawn Zhang	7	49	XJV DB		Zenz, Karakax list	https://www.jpolrisk.com/karakax/		https://shahit.biz/eng/#facilities	
